Warehouse,Customer_ID,Latitude,Longitude,Demand,Vehicle_Capacity,Priority_Level,Traffic_Condition
Whse_A,Whse_A_CUST_1,40.4029,-3.6559,70,500,High,Medium
Whse_A,Whse_A_CUST_2,40.3885,-3.6756,112,500,Low,Low
Whse_A,Whse_A_CUST_3,40.4562,-3.7085,238,500,Medium,Low
Whse_C,Whse_C_CUST_1,41.3879,2.1866,79,500,Medium,High
Whse_C,Whse_C_CUST_2,41.4277,2.1414,104,500,Medium,High
Whse_C,Whse_C_CUST_3,41.4143,2.1438,59,500,Medium,High
Whse_J,Whse_J_CUST_1,37.3711,-5.9571,155,500,Medium,Low
Whse_J,Whse_J_CUST_2,37.3656,-5.9676,247,500,Medium,High
Whse_J,Whse_J_CUST_3,37.4025,-6.0325,109,500,Medium,High
Whse_S,Whse_S_CUST_1,39.5039,-0.3813,129,500,Low,Low
Whse_S,Whse_S_CUST_2,39.4772,-0.3366,138,500,High,High
Whse_S,Whse_S_CUST_3,39.4526,-0.3765,180,500,Medium,High
